,Nota_media_curso,Nota_media_selec,Val_profe,Val_compañeros,Val_propia,Val_padres,Val_direct,Eval_Alumno
43,7.99,8.64,3.86,9.7,9.63,8.0,7.3,Buena
44,6.56,7.3,7.38,7.84,6.66,9.22,5.28,Buena
45,6.14,7.52,7.08,8.02,9.7,7.04,5.04,Buena
46,9.08,10.66,4.4,8.28,8.92,5.81,4.85,Muy Buena
47,7.23,7.460000000000001,7.07,7.39,7.18,7.83,9.68,Buena
48,9.37,10.43,9.06,7.7,8.24,6.72,7.94,Perfecta
49,8.86,9.58,4.79,8.23,8.63,6.38,6.48,Muy Buena
50,9.64,10.15,5.8,9.02,6.48,7.85,7.02,Muy Buena
51,5.07,5.220000000000001,4.66,7.97,9.86,6.56,4.78,No Muy Mala
52,6.45,7.640000000000001,8.13,8.21,7.34,9.15,4.8,Buena
53,8.8,8.870000000000001,8.49,8.4,9.31,9.05,4.96,Muy Buena
54,9.09,10.4,7.26,7.64,7.04,8.2,7.08,Muy Buena
55,3.88,4.21,3.42,9.09,6.72,7.32,4.64,Mala
56,3.34,4.41,4.3,7.75,6.5,7.21,8.18,Mala
57,7.1,8.35,8.12,9.01,7.5,6.12,7.87,Muy Buena
58,5.23,5.930000000000001,4.63,8.57,8.2,6.8,4.8,No Muy Mala
59,3.82,4.9799999999999995,5.0,9.11,8.56,8.76,8.02,Mala
60,5.69,6.65,7.68,9.43,8.52,5.53,5.16,Buena
61,3.87,4.38,7.46,9.19,8.19,7.68,6.99,No Muy Mala
62,9.09,10.64,7.18,7.77,8.79,9.63,4.39,Muy Buena
63,6.06,6.3,3.93,9.95,9.47,8.51,7.29,No Muy Buena
64,5.19,6.7700000000000005,8.77,8.19,7.62,7.25,8.86,Buena
65,5.62,6.0,8.73,9.37,9.52,6.94,6.02,Buena
66,3.21,4.8,5.92,7.9,8.78,6.64,8.3,Mala
67,4.87,5.75,3.5,8.02,7.95,7.62,6.13,Mala
68,3.54,5.11,7.47,7.52,9.84,7.86,7.73,No Muy Mala
69,8.71,9.49,8.64,7.82,8.95,6.72,5.45,Muy Buena
70,9.3,10.21,3.43,8.15,8.58,9.4,9.42,Muy Buena
71,9.2,10.79,7.45,8.43,9.31,7.01,6.44,Perfecta
72,5.49,5.88,4.34,8.84,8.67,5.59,7.45,No Muy Mala
73,8.07,8.38,8.45,7.82,6.34,9.64,7.81,Muy Buena
74,9.44,10.34,9.45,7.71,6.72,6.54,5.06,Perfecta
75,9.19,10.85,5.57,8.18,9.54,5.85,6.67,Muy Buena
76,5.72,6.779999999999999,3.77,7.43,6.58,8.96,7.38,No Muy Mala
77,3.6,3.7,3.24,9.97,8.57,6.11,5.5,Mala
78,5.74,5.98,3.56,9.59,6.2,6.83,8.84,No Muy Mala
79,6.04,7.48,4.5,9.25,9.9,6.08,7.86,No Muy Buena
80,6.59,7.92,4.48,9.12,7.41,7.56,8.63,No Muy Buena
81,6.86,8.540000000000001,9.3,8.74,6.91,8.58,8.66,Muy Buena
82,7.2,7.390000000000001,4.31,9.4,6.32,9.31,6.31,No Muy Buena
83,6.32,7.69,8.62,9.05,7.23,9.53,6.34,Muy Buena
84,6.42,7.8,4.94,9.76,7.27,5.72,6.8,No Muy Buena
85,6.54,7.82,6.16,9.48,6.81,7.87,7.0,Buena
86,4.99,5.6000000000000005,6.85,9.01,8.92,5.93,6.26,No Muy Buena
87,4.48,5.880000000000001,7.33,7.15,9.58,8.53,5.09,No Muy Mala
88,9.96,11.64,9.53,7.25,7.94,7.15,8.24,Perfecta
89,8.53,9.879999999999999,9.33,9.41,8.59,9.04,9.33,Perfecta
90,5.38,6.0,9.44,9.36,7.99,5.65,7.33,Buena
91,4.94,5.19,6.1,9.16,9.12,6.14,8.28,No Muy Mala
92,4.61,6.1000000000000005,8.57,8.96,9.56,7.13,5.28,No Muy Buena
93,5.66,6.95,5.99,9.92,9.51,6.78,9.49,Buena
94,9.71,10.770000000000001,5.88,8.88,7.62,5.51,7.92,Muy Buena
95,5.3,6.24,6.85,9.64,8.66,7.57,8.98,No Muy Buena
96,3.81,5.45,5.74,9.48,8.91,6.15,8.96,No Muy Mala
97,3.56,4.45,9.46,9.16,8.41,6.15,6.01,No Muy Buena
98,5.87,6.43,5.87,7.7,6.38,7.05,5.76,No Muy Mala
99,5.6,5.7299999999999995,8.45,8.58,7.91,8.44,4.65,No Muy Buena
100,3.33,4.58,3.92,9.63,8.03,6.95,9.51,Mala
101,7.31,7.64,6.02,7.15,7.42,8.01,8.66,Buena
102,5.99,6.15,6.62,7.83,8.49,6.7,6.7,No Muy Buena
103,6.12,7.03,4.95,8.89,6.75,7.54,9.05,No Muy Buena
104,6.35,6.89,3.71,7.69,6.37,8.35,4.22,No Muy Mala
105,5.14,5.83,6.31,8.77,7.92,8.85,4.65,No Muy Mala
106,6.41,6.83,6.04,7.3,6.62,9.65,5.08,No Muy Buena
107,5.89,7.279999999999999,8.24,8.12,8.99,7.07,6.67,Buena
108,5.06,5.27,3.29,7.58,8.15,5.85,4.98,Mala
109,5.42,6.24,7.22,8.26,8.93,6.93,7.57,No Muy Buena
110,7.06,7.4799999999999995,4.51,9.31,9.59,8.87,9.55,Buena
111,9.77,10.84,9.42,7.3,9.12,8.1,6.0,Perfecta
112,3.14,3.3400000000000003,4.08,9.73,8.78,7.1,4.5,Mala
113,7.08,7.3,9.33,8.18,6.56,6.81,8.76,Muy Buena
114,8.27,8.34,4.26,7.39,6.38,7.73,9.17,Buena
115,5.34,6.859999999999999,4.23,9.32,9.04,8.85,5.0,No Muy Mala
116,5.13,5.63,6.56,9.65,7.28,6.7,8.22,No Muy Buena
117,8.11,9.09,8.95,9.1,9.46,9.02,7.78,Perfecta
118,7.15,7.53,3.57,9.8,9.83,7.39,9.0,Buena
119,9.45,10.5,9.23,8.09,6.25,8.37,8.36,Perfecta
120,9.5,10.46,6.47,8.69,8.4,8.52,4.21,Muy Buena
121,6.45,8.08,7.41,9.66,8.92,6.73,4.88,Buena
122,8.91,9.23,5.01,7.41,9.32,9.56,8.5,Muy Buena
123,6.82,7.25,3.45,7.36,6.61,6.29,8.09,No Muy Mala
124,9.33,10.7,5.2,7.52,8.15,9.61,6.35,Muy Buena
125,4.89,6.529999999999999,3.57,9.15,9.39,5.81,4.38,Mala
126,8.3,9.450000000000001,5.5,8.24,7.83,6.5,4.45,Buena
127,6.53,7.74,5.63,8.99,8.07,6.98,6.16,No Muy Buena
128,8.56,9.440000000000001,8.85,8.01,7.1,6.12,8.99,Perfecta
129,9.73,11.23,5.6,7.19,9.6,7.79,5.2,Muy Buena
130,7.35,8.76,9.31,9.56,6.54,7.59,9.36,Muy Buena
131,3.33,3.87,6.98,9.35,7.96,9.2,4.26,Mala
132,6.9,7.16,5.46,8.71,6.98,6.88,9.01,Buena
133,8.78,10.33,8.52,9.28,8.59,8.49,8.45,Perfecta
134,8.76,10.23,4.24,8.75,6.76,6.08,7.01,Muy Buena
135,8.2,9.379999999999999,6.24,9.22,8.69,8.25,6.44,Muy Buena
136,4.13,5.41,5.25,9.93,7.25,6.38,7.3,No Muy Mala
137,7.38,8.37,5.85,8.18,8.58,9.14,4.37,Buena
138,3.6,3.84,9.67,8.81,6.23,7.31,8.48,No Muy Buena
139,3.34,4.9399999999999995,6.32,7.29,7.21,8.68,8.33,Mala
140,4.28,5.73,7.0,8.44,7.09,8.38,7.91,No Muy Mala
141,5.56,5.67,5.43,9.7,7.57,8.65,9.69,No Muy Buena
142,5.9,6.050000000000001,6.15,9.25,8.55,6.55,7.79,No Muy Buena
143,3.33,3.59,8.27,7.28,9.85,5.98,6.33,No Muy Mala
144,6.21,6.74,5.44,7.59,8.64,5.99,4.56,No Muy Buena
145,6.59,7.51,3.42,9.2,8.44,6.53,9.61,No Muy Buena
146,7.31,7.56,3.61,7.32,7.3,7.22,6.69,No Muy Buena
147,3.56,4.54,4.45,7.42,6.28,7.2,7.89,Mala
148,9.95,9.959999999999999,4.33,8.56,6.75,7.62,6.72,Muy Buena
149,6.96,7.15,8.54,8.58,9.88,6.12,4.49,Buena
150,9.7,10.889999999999999,8.37,7.45,8.4,7.39,9.34,Perfecta
151,6.12,7.68,7.87,8.98,9.74,6.59,6.98,Buena
152,8.85,9.09,6.67,8.5,9.55,6.46,7.48,Muy Buena
153,4.02,4.58,6.1,9.16,9.08,7.42,4.2,No Muy Mala
154,7.24,8.13,6.85,8.91,7.85,6.25,6.25,Buena
155,9.61,10.5,7.46,7.82,8.5,8.2,5.87,Perfecta
156,7.92,8.18,7.31,8.78,7.38,6.18,5.4,Muy Buena
157,6.66,7.74,7.34,7.79,8.03,7.62,5.71,Buena
158,8.94,9.889999999999999,7.64,9.18,7.32,8.24,6.04,Muy Buena
159,6.9,8.450000000000001,8.78,9.62,6.41,9.37,4.79,Muy Buena
160,5.79,7.42,3.41,8.62,8.92,5.72,8.81,No Muy Mala
161,3.14,3.5100000000000002,5.9,7.74,6.27,7.38,4.35,Mala
162,7.45,8.96,6.91,8.14,9.9,6.23,4.65,Muy Buena
163,9.55,9.98,5.26,9.82,8.54,6.98,4.21,Muy Buena
164,3.9,5.14,6.34,7.72,7.98,6.11,5.22,Mala
165,3.86,3.9099999999999997,6.51,8.9,7.02,8.26,7.3,No Muy Mala
166,5.9,6.48,5.45,8.63,7.1,6.26,4.46,No Muy Mala
167,9.25,10.83,9.47,8.21,9.29,6.22,5.64,Perfecta
168,7.74,7.99,9.21,9.45,6.2,8.43,7.94,Muy Buena
169,6.27,6.71,4.28,7.38,7.17,6.32,5.0,No Muy Mala
170,8.65,9.17,6.53,7.43,7.97,6.01,7.02,Muy Buena
171,9.79,10.139999999999999,4.55,9.06,9.98,9.25,8.14,Muy Buena
172,5.48,6.340000000000001,7.99,9.36,8.49,6.16,4.53,No Muy Buena
173,5.98,6.380000000000001,7.84,8.83,7.64,7.25,8.05,Buena
174,3.97,4.0600000000000005,6.76,9.7,7.94,6.77,9.25,No Muy Mala
175,7.86,8.950000000000001,9.08,9.18,6.68,9.31,6.62,Muy Buena
176,6.97,7.34,8.34,8.74,8.69,9.06,8.29,Muy Buena
177,5.05,5.57,3.66,9.41,8.3,7.97,5.81,No Muy Mala
178,9.37,10.569999999999999,5.2,9.11,9.3,8.22,6.65,Muy Buena
179,3.87,5.140000000000001,6.75,8.24,9.79,7.55,9.64,No Muy Mala
180,4.6,6.1,7.58,8.67,6.69,7.91,7.59,No Muy Buena
181,5.3,5.71,6.81,7.28,8.64,8.48,4.93,No Muy Mala
182,8.35,9.9,6.57,8.32,7.58,5.55,7.79,Muy Buena
183,8.07,8.120000000000001,6.2,7.11,8.38,6.72,4.27,Buena
184,8.14,9.690000000000001,8.7,9.15,8.68,8.53,5.82,Muy Buena
185,3.89,3.92,6.45,7.35,9.21,8.77,9.22,No Muy Mala
186,9.89,10.450000000000001,8.17,7.26,8.95,7.78,5.17,Perfecta
187,5.5,5.83,6.52,7.76,8.83,8.78,6.08,No Muy Buena
188,9.03,9.629999999999999,5.44,8.91,6.81,6.74,6.51,Muy Buena
189,6.37,7.640000000000001,3.23,9.59,9.5,6.92,6.31,No Muy Buena
190,3.58,5.19,8.31,7.39,9.71,5.69,6.53,No Muy Mala
191,3.92,4.37,6.17,7.13,9.77,8.98,4.46,Mala
192,4.36,5.640000000000001,6.31,7.15,7.57,9.0,7.9,No Muy Mala
193,8.35,9.08,5.67,9.46,7.22,7.02,6.48,Muy Buena
194,8.2,9.879999999999999,3.43,9.43,9.8,7.91,9.61,Muy Buena
195,7.32,8.47,8.01,7.79,7.52,8.34,6.39,Muy Buena
196,9.21,10.440000000000001,6.01,7.59,7.64,7.91,4.67,Muy Buena
197,4.59,5.17,9.27,8.81,9.21,8.6,8.74,Buena
198,6.74,6.86,8.1,8.71,9.13,6.46,6.86,Buena
199,8.97,9.860000000000001,3.22,9.71,6.35,5.64,4.46,Buena
200,5.15,5.57,9.44,8.0,7.26,9.49,4.24,No Muy Buena
201,7.44,7.61,5.61,9.0,7.97,7.43,6.13,Buena
202,3.67,4.58,6.07,8.11,7.75,6.32,7.24,Mala
203,7.76,9.32,4.84,8.45,9.36,8.33,7.46,Buena
204,8.23,9.42,9.06,8.7,8.39,9.02,9.34,Perfecta
205,9.74,11.15,4.63,7.57,6.36,7.95,4.96,Muy Buena
206,6.1,7.09,8.88,9.42,9.11,9.14,4.29,Buena
207,5.23,6.140000000000001,8.93,7.7,7.32,5.7,7.98,Buena
208,3.91,5.0600000000000005,3.59,8.11,6.99,6.8,7.42,Mala
209,8.78,10.44,4.95,9.47,8.68,9.69,4.65,Muy Buena
210,9.88,11.520000000000001,6.06,7.29,8.68,8.91,7.38,Perfecta
211,7.71,7.93,3.72,9.2,8.01,5.53,9.07,Buena
212,5.62,7.1,3.5,9.81,7.23,6.89,7.25,No Muy Mala
213,8.93,9.19,7.79,8.97,8.09,8.78,4.96,Muy Buena
214,5.22,5.859999999999999,5.11,8.83,7.16,5.93,5.2,No Muy Mala
215,7.77,9.36,9.52,7.29,6.4,9.26,6.5,Muy Buena
216,7.76,8.99,6.69,9.57,8.51,6.59,4.72,Muy Buena
217,4.91,5.33,4.49,7.8,7.59,8.25,7.8,No Muy Mala
218,9.11,10.17,9.58,8.17,7.53,5.92,7.59,Perfecta
219,4.58,6.19,3.69,8.97,6.58,8.19,5.66,Mala
220,7.8,8.58,7.27,7.4,7.5,5.76,6.92,Muy Buena
221,3.74,4.800000000000001,4.7,8.78,9.68,8.93,7.63,Mala
222,5.65,6.8500000000000005,4.19,8.77,8.47,9.46,9.31,No Muy Buena
223,9.71,10.05,8.95,7.19,9.24,5.52,8.74,Perfecta
224,6.49,7.04,5.58,7.66,7.03,9.67,7.86,No Muy Buena
225,6.86,8.22,8.2,7.56,9.7,9.41,4.3,Muy Buena
226,3.93,4.61,8.94,8.53,8.63,9.43,9.22,No Muy Buena
227,7.35,8.85,4.82,8.9,7.1,5.91,7.46,Buena
228,6.76,8.29,9.38,9.2,9.43,7.59,6.51,Muy Buena
229,7.48,7.87,7.31,7.14,7.45,9.58,8.06,Muy Buena
230,3.6,4.5200000000000005,6.32,8.16,8.04,7.33,7.92,No Muy Mala
231,7.52,9.049999999999999,5.51,8.08,9.34,6.88,9.65,Muy Buena
232,8.34,8.73,4.76,7.64,7.74,7.34,8.81,Buena
233,4.77,4.93,3.3,8.47,8.28,6.12,5.93,Mala
234,6.95,7.12,3.65,9.33,7.47,9.39,7.32,No Muy Buena
235,8.15,9.24,5.12,7.68,8.1,8.1,8.92,Muy Buena
236,8.4,10.08,8.02,8.22,9.8,9.31,4.73,Muy Buena
237,8.12,8.709999999999999,6.51,8.05,8.44,8.76,9.5,Muy Buena
238,3.39,3.47,7.09,7.26,9.72,7.7,8.09,Mala
239,8.16,8.76,9.43,7.38,8.11,6.37,9.22,Perfecta
240,4.48,5.640000000000001,6.47,9.34,9.96,6.82,4.32,No Muy Mala
241,3.15,3.41,4.93,8.34,8.94,6.34,8.58,Mala
242,7.04,7.47,4.35,9.49,7.48,7.88,4.62,No Muy Buena
243,7.18,8.719999999999999,5.48,9.34,7.19,6.06,9.69,Buena
244,6.31,6.8,5.12,9.28,9.91,6.12,7.85,No Muy Buena
245,3.89,4.24,3.2,9.38,9.33,9.28,8.93,Mala
246,7.59,7.7299999999999995,5.48,8.83,7.96,9.0,7.89,Buena
247,8.15,8.23,8.63,8.14,7.47,8.85,8.99,Muy Buena
248,5.76,6.32,5.17,7.36,9.43,8.74,5.25,No Muy Mala
249,9.9,10.65,6.43,8.65,8.17,6.02,7.46,Perfecta
250,3.46,4.02,4.53,7.92,7.8,7.02,8.93,Mala
251,4.59,5.609999999999999,4.89,8.75,9.99,8.84,5.98,No Muy Mala
252,8.98,10.13,3.65,8.98,7.84,8.03,8.14,Muy Buena
253,5.73,7.33,4.62,8.54,8.74,7.47,4.8,No Muy Mala
254,9.01,9.76,7.49,9.14,7.07,6.39,4.31,Muy Buena
255,4.35,5.96,8.08,8.15,9.82,8.06,5.53,No Muy Buena
256,4.3,5.16,7.98,8.08,8.5,7.56,4.24,No Muy Mala
257,9.88,10.98,8.7,7.3,8.25,6.92,5.41,Perfecta
258,3.41,3.73,6.0,9.19,6.32,6.75,9.31,Mala
259,3.83,5.26,7.64,8.21,7.35,7.04,4.46,No Muy Mala
260,9.8,11.0,5.0,8.82,7.71,8.49,5.83,Muy Buena
261,3.59,4.57,3.93,8.96,6.63,6.79,4.34,Mala
262,6.5,6.67,6.86,9.36,9.3,8.33,6.31,Buena
263,9.68,10.11,5.38,7.17,7.37,9.45,4.76,Muy Buena
264,8.25,8.97,3.29,8.53,8.97,6.67,8.94,Buena
265,9.62,11.25,4.51,8.5,6.57,8.96,6.0,Muy Buena
266,7.38,8.62,7.24,7.26,8.07,7.45,9.47,Muy Buena
267,8.68,9.91,5.58,9.18,9.14,9.5,9.47,Muy Buena
268,5.25,5.39,8.64,7.44,7.73,8.64,5.76,No Muy Buena
269,8.16,9.17,5.41,9.12,6.26,6.72,9.6,Muy Buena
270,4.0,4.34,4.02,9.42,9.3,5.63,9.48,Mala
271,5.52,7.18,4.46,8.29,6.33,7.68,6.15,No Muy Mala
272,3.36,4.779999999999999,6.48,8.11,8.48,9.01,6.94,No Muy Mala
273,3.9,4.92,7.1,8.86,7.01,7.32,8.05,No Muy Mala
274,6.94,8.13,5.86,7.49,8.66,6.04,8.62,Buena
275,7.57,8.7,7.78,8.3,7.8,6.99,9.38,Muy Buena
276,6.81,7.109999999999999,7.58,7.48,9.37,5.75,5.89,Buena
277,7.9,9.32,9.19,8.55,8.72,6.97,5.43,Muy Buena
278,6.52,8.149999999999999,3.38,8.96,7.65,9.58,7.36,No Muy Buena
279,5.95,5.98,8.59,9.49,7.85,5.91,9.69,Buena
280,4.04,4.51,3.31,9.85,9.37,9.08,8.7,Mala
281,9.76,10.81,5.7,8.18,6.26,8.61,7.78,Muy Buena
282,4.04,4.98,7.94,9.82,7.94,8.87,6.82,No Muy Buena
283,6.52,7.02,8.46,7.83,7.88,7.88,8.79,Buena
284,3.5,4.32,6.77,9.37,6.7,6.2,8.23,No Muy Mala
285,3.7,4.07,3.55,9.97,9.34,8.95,7.95,Mala
286,3.36,4.4399999999999995,5.57,9.75,9.7,7.77,4.84,Mala
287,5.03,5.05,7.11,9.71,7.88,8.24,8.48,No Muy Buena
288,4.2,5.140000000000001,6.03,8.02,7.99,6.48,7.91,No Muy Mala
289,7.79,8.61,8.44,7.14,9.67,9.55,4.37,Muy Buena
290,4.92,5.3,3.61,9.29,9.83,8.47,5.13,Mala
291,9.89,10.63,7.11,8.65,9.49,8.33,8.3,Perfecta
292,9.21,10.41,6.3,7.9,8.4,7.03,4.41,Muy Buena
293,7.94,8.91,6.19,7.72,6.34,7.12,5.65,Buena
294,3.16,3.17,6.63,7.65,9.7,8.95,6.3,Mala
295,7.63,8.75,3.88,9.79,8.2,6.52,6.51,Buena
296,8.5,10.02,7.58,8.64,8.47,9.66,5.07,Muy Buena
297,3.37,4.720000000000001,9.54,9.77,6.27,9.11,7.28,No Muy Buena
298,7.52,7.56,5.17,8.48,6.5,7.34,8.73,Buena
299,7.44,7.5,7.19,8.87,7.99,8.48,9.15,Muy Buena
300,6.24,6.25,7.92,8.58,9.59,5.93,7.71,Buena
301,4.7,5.88,4.78,9.38,8.97,9.45,8.16,No Muy Mala
302,8.78,8.86,3.24,8.29,6.76,6.84,4.9,Buena
303,6.45,7.84,6.14,8.85,8.12,5.95,7.6,Buena
304,3.42,4.97,6.37,9.9,6.2,8.83,8.43,No Muy Mala
305,8.44,8.59,4.69,7.77,6.38,5.76,8.4,Buena
306,8.39,8.600000000000001,6.4,8.27,7.34,6.47,4.59,Muy Buena
307,6.29,7.37,6.77,8.46,8.42,8.58,5.42,Buena
308,3.78,4.029999999999999,5.86,9.27,9.31,6.68,8.46,No Muy Mala
309,6.28,7.62,5.84,9.73,6.59,8.93,6.74,Buena
310,4.1,5.319999999999999,7.44,7.35,9.39,7.74,7.06,No Muy Mala
311,8.42,8.74,4.73,9.44,9.28,8.15,4.26,Buena
312,5.95,6.62,5.95,8.85,8.74,6.43,6.55,No Muy Buena
313,5.48,6.42,3.51,8.03,8.94,8.08,5.48,No Muy Mala
314,5.25,6.05,7.64,9.27,8.92,9.45,9.41,Buena
315,6.61,7.800000000000001,6.22,7.68,8.74,9.62,9.2,Buena
316,9.76,10.55,5.4,7.51,7.83,6.95,7.55,Muy Buena
317,8.59,9.379999999999999,8.04,8.93,9.07,5.71,8.15,Perfecta
318,3.52,4.86,8.91,7.75,7.13,7.03,4.95,No Muy Mala
319,6.56,7.489999999999999,3.94,7.47,9.11,6.47,9.56,No Muy Buena
320,9.98,10.4,9.58,9.48,7.4,5.66,9.69,Perfecta
321,9.33,10.09,4.64,9.15,8.81,9.56,9.19,Muy Buena
322,3.15,4.6,4.47,8.56,8.35,7.0,9.32,Mala
323,7.51,8.42,7.71,9.52,7.52,9.36,9.55,Muy Buena
324,3.66,4.5,3.49,9.37,8.68,9.38,9.23,Mala
325,8.73,9.82,3.75,8.01,9.85,7.95,9.15,Muy Buena
326,7.99,9.21,8.3,8.16,7.0,9.49,8.23,Muy Buena
327,8.96,9.58,3.91,8.05,9.83,5.81,5.99,Buena
328,9.82,10.290000000000001,8.69,8.01,7.74,8.93,4.88,Perfecta
329,9.92,11.3,9.57,8.09,8.49,7.22,6.61,Perfecta
330,5.06,5.43,7.43,9.28,9.95,6.18,6.55,No Muy Buena
331,9.25,10.9,4.36,8.84,6.94,8.71,6.02,Muy Buena
332,5.15,5.5200000000000005,6.39,7.33,8.05,7.16,5.74,No Muy Mala
333,7.14,8.809999999999999,9.23,7.62,8.36,8.79,6.46,Muy Buena
334,7.82,9.33,7.62,8.87,7.6,8.2,6.74,Muy Buena
335,6.87,8.08,4.78,9.71,7.99,6.98,9.64,Buena
336,3.36,4.25,6.99,9.57,6.25,5.77,5.0,Mala
337,5.62,6.0,7.98,8.64,9.89,5.72,4.47,No Muy Buena
338,9.27,10.36,3.81,8.48,9.83,6.06,7.08,Muy Buena
339,6.77,6.909999999999999,7.55,7.72,6.29,7.48,6.51,Buena
340,8.86,8.979999999999999,3.69,8.01,8.64,7.99,5.45,Buena
341,9.65,11.33,8.53,7.71,6.69,5.91,9.6,Perfecta
342,6.39,7.17,4.33,9.28,7.55,9.57,6.58,No Muy Buena
343,8.56,10.200000000000001,5.23,8.78,6.42,9.64,5.38,Muy Buena
344,8.63,8.850000000000001,3.28,9.26,9.88,9.47,6.98,Buena
345,7.29,8.76,6.5,8.59,8.77,8.07,4.83,Buena
346,8.07,9.56,6.86,7.96,6.26,5.69,9.19,Muy Buena
347,8.06,9.51,6.99,9.91,9.18,8.14,9.5,Muy Buena
348,5.61,5.82,9.32,8.48,8.09,8.65,7.74,Buena
349,8.77,9.79,5.19,9.73,8.93,9.56,5.97,Muy Buena
350,3.67,3.85,8.37,7.88,8.76,7.02,8.85,No Muy Mala
351,7.92,9.02,8.12,9.4,9.23,7.37,9.5,Muy Buena
352,4.11,4.75,7.8,9.36,8.45,9.01,9.29,No Muy Buena
353,5.82,7.180000000000001,6.36,7.29,7.53,9.58,8.59,No Muy Buena
354,8.33,9.91,4.55,7.73,9.93,9.16,6.89,Muy Buena
355,9.16,10.33,4.28,8.1,6.63,9.42,5.4,Muy Buena
356,9.08,9.73,8.88,9.39,7.0,7.99,5.68,Perfecta
357,6.67,7.16,8.13,8.31,7.57,6.05,5.73,Buena
358,4.59,5.859999999999999,6.12,7.98,8.41,9.27,6.08,No Muy Mala
359,4.39,5.31,4.04,8.01,8.62,6.3,4.41,Mala
360,3.63,3.87,6.07,9.15,8.75,7.71,7.21,Mala
361,4.23,5.1000000000000005,3.53,7.1,7.97,5.59,4.94,Mala
362,9.52,9.799999999999999,9.56,9.07,6.56,8.04,7.29,Perfecta
363,3.12,3.35,5.86,7.86,8.34,8.1,5.32,Mala
364,4.29,5.03,6.79,8.88,6.55,5.94,5.83,No Muy Mala
365,7.24,8.45,6.73,7.19,9.58,6.4,4.3,Buena
366,3.54,4.73,6.25,9.64,6.67,8.91,7.43,No Muy Mala
367,7.73,8.51,7.68,7.63,7.77,8.69,8.59,Muy Buena
368,7.86,8.290000000000001,9.34,9.61,6.38,9.45,6.8,Muy Buena
369,3.63,3.9899999999999998,5.69,9.3,8.94,7.83,9.45,No Muy Mala
